NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
Hunters Point-Sunnyside-West Maspeth,06/08/2015,75.0,,103539.43,0.0,160609.31960000002
Sunset Park West,02/12/2008,48.0,,167921.5,0.0,139256.485
Greenpoint,08/01/2018,14.0,,29709.76,0.0,177222.05857142858
East Williamsburg,12/05/2019,11.0,,36814.35,0.0,143369.4790909091
Sunset Park West,10/02/2009,48.0,,31675.14,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,06/08/2012,75.0,,39328.71,0.0,160609.31960000002
Sunset Park West,05/15/2015,48.0,,30851.48,0.0,139256.485
East Williamsburg,03/09/2010,11.0,,304143.9,0.0,143369.4790909091
Sunset Park West,09/01/2016,48.0,,89502.63,0.0,139256.485
Crown Heights North,03/15/2016,9.0,,3684.2,0.0,17168.966666666667
Hunters Point-Sunnyside-West Maspeth,03/09/2017,75.0,,96057.08,0.0,160609.31960000002
Crown Heights North,04/25/2016,9.0,,22690.93,0.0,17168.966666666667
East Williamsburg,02/01/2013,11.0,,210971.06,0.0,143369.4790909091
Hunters Point-Sunnyside-West Maspeth,03/09/2017,75.0,,273099.33,0.0,160609.31960000002
Sunset Park West,03/16/2010,48.0,,27719.74,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,02/06/2019,75.0,,25201.79,0.0,160609.31960000002
Sunset Park West,11/14/2016,48.0,,16676.9,0.0,139256.485
Sunset Park West,06/13/2016,48.0,,2197349.92,0.0,139256.485
Mott Haven-Port Morris,02/08/2018,14.0,,108176.8,10.0,159905.58428571429
Battery Park City-Lower Manhattan,01/02/2013,9.0,,35001.67,0.0,3798151.2388888896
Hunters Point-Sunnyside-West Maspeth,12/07/2016,75.0,,2874.67,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,10/30/2011,75.0,,5972.73,0.0,160609.31960000002
Mott Haven-Port Morris,11/06/2007,14.0,5.0,202990.89,10.0,159905.58428571429
park-cemetery-etc-Brooklyn,04/19/2019,15.0,,2606.63,0.0,36740.328
Sunset Park West,06/12/2009,48.0,,4394.39,0.0,139256.485
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,07/03/2017,10.0,,3098630.05,0.0,437390.5
Hunters Point-Sunnyside-West Maspeth,03/31/2016,75.0,,45530.62,0.0,160609.31960000002
Carroll Gardens-Columbia Street-Red Hook,11/28/2012,11.0,,637206.9,0.0,184683.94545454546
Hunters Point-Sunnyside-West Maspeth,06/07/2011,75.0,,341927.86,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,07/08/2014,75.0,,49780.68,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,10/03/2008,75.0,,40423.96,0.0,160609.31960000002
Sunset Park West,12/03/2019,48.0,,2741.38,0.0,139256.485
